state,abbr,obese,withDegree
Alabama,AL,33.5,23.5
Alaska,AK,29.7,28
Arizona,AZ,28.9,27.6
Arkansas,AR,35.9,21.4
California,CA,24.7,31.7
Colorado,CO,21.3,38.3
Connecticut,CT,26.3,38
Delaware,DE,30.7,30.6
District of Columbia,DC,21.7,55
Florida,FL,26.2,27.3
Georgia,GA,30.5,29.1
Hawaii,HI,22.1,31
Idaho,ID,28.9,25
Illinois,IL,29.3,32.8
Indiana,IN,32.7,24.7
Iowa,IA,30.9,27.7
Kansas,KS,31.3,31.5
Kentucky,KY,31.6,22.2
Louisiana,LA,34.9,22.9
Maine,ME,28.2,29.4
Maryland,MD,29.6,38.2
Massachusetts,MA,23.3,41.2
Michigan,MI,30.7,27.4
Minnesota,MN,27.6,34.3
Mississippi,MS,35.5,21.1
Missouri,MO,30.2,27.5
Montana,MT,26.4,29.3
Nebraska,NE,30.2,29.5
Nevada,NV,27.7,23.1
New Hampshire,NH,27.4,35
New Jersey,NJ,26.9,37.4
New Mexico,NM,28.4,26.4
New York,NY,27,34.5
North Carolina,NC,29.7,28.7
North Dakota,ND,32.2,27.4
Ohio,OH,32.6,26.6
Oklahoma,OK,33,24.2
Oregon,OR,27.9,30.8
Pennsylvania,PA,30.2,29
Rhode Island,RI,27,30.4
South Carolina,SC,32.1,26.3
South Dakota,SD,29.8,27.8
Tennessee,TN,31.2,25.3
Texas,TX,31.9,27.8
Utah,UT,25.7,31.1
Vermont,VT,24.8,34.9
Virginia,VA,28.5,36.7
Washington,WA,27.3,33.1
West Virginia,WV,35.7,19.2
Wisconsin,WI,31.2,28.4
Wyoming,WY,29.5,26.6
